"X"	"A"	"F_risk"	"O_factor"	"imm_p"	"RRreport"	"knot1"	"knot2"	"beta1"	"log.density"
"4685"	4685	0.571130454343013	0.0474895635223893	0.536561392111871	0.966245214690723	0.648265661554661	6.69435762086197	11.145727340681	0.42493005501231	-151.589683671356
"4691"	4691	0.576258230742725	0.0454590374218987	0.592605008740196	0.946375267564821	0.649234469893618	7.68743794952255	10.1214046605434	0.378747692138419	-151.620621535182
"4697"	4697	0.580201606086569	0.0616867644500336	0.468283797638019	0.964472392703412	0.586708001854408	5.51338530428539	12.017104517318	0.339194776932785	-153.912099638124
"4703"	4703	0.56994919673755	0.0506153029652109	0.407026206108595	0.962135841658297	0.755680992663868	5.42801534398556	12.3745554428902	0.522968311509445	-150.180054154916
"4709"	4709	0.569521218396559	0.0545301619887427	0.349139194829308	0.98009888814817	0.78721517107247	2.39610500678772	12.4141345859595	0.524471619977011	-150.750089046141
"4715"	4715	0.582973403958566	0.0424389132978274	0.433710329072065	0.975878655086435	0.89959093541477	2.39515650131918	13.9173851450277	0.38972822406338	-153.30973793444
"4721"	4721	0.574449188581584	0.0589750241833321	0.328881736348867	0.989065646290607	0.792216623814736	2.30888530397303	12.8380131321161	0.60113591248193	-151.922973267966
"4727"	4727	0.568846010059163	0.0632052959773422	0.229361129730544	0.974548635592548	0.895262806072827	1.80620693317972	10.2967233427109	0.98737563242175	-151.797012890293
"4733"	4733	0.565242590877823	0.0481734471517428	0.46979842849758	0.946637336399316	0.776224219157932	4.07906638629526	11.1346101790824	0.587230160306784	-150.179245526597
"4739"	4739	0.577093968481216	0.0404504006388109	0.647536692284419	0.928042054232966	0.696263383002678	5.53967529097579	12.8579735351477	0.429590382662589	-151.254107853146
"4745"	4745	0.570510197832342	0.0506669371222586	0.469731601464153	0.962564653142795	0.732777550581613	4.64602236982613	11.3167170334264	0.57025734677817	-150.656418495198
"4751"	4751	0.570510197832342	0.0506669371222586	0.469731601464153	0.962564653142795	0.732777550581613	4.64602236982613	11.3167170334264	0.57025734677817	-150.656418495198
"4757"	4757	0.568306917437964	0.0567695162517222	0.420564491007851	0.970250096814009	0.706975830752172	3.694446047411	9.24723356520532	0.663245332469669	-151.041243988706
"4763"	4763	0.568306917437964	0.0567695162517222	0.420564491007851	0.970250096814009	0.706975830752172	3.694446047411	9.24723356520532	0.663245332469669	-151.041243988706
"4769"	4769	0.563236321997231	0.0435516246494164	0.417055825726338	0.939260980911347	0.832734282707527	2.40947846486581	9.46518518048722	0.706032985843029	-151.127804234078
"4775"	4775	0.565549945507206	0.0409919502172454	0.495942328031255	0.936970357138261	0.828839651036602	1.95860787378805	10.2537799023318	0.662905684016176	-150.30326144476
"4781"	4781	0.576418096969284	0.0464569111330619	0.544097316864243	0.938953773769944	0.73245709294621	2.82735191908046	10.8845595146175	0.42853317721432	-151.327971298681
"4787"	4787	0.574749720721293	0.0495109126696265	0.501929030392182	0.928076169138474	0.682506894779975	1.60299774677634	10.4280998402219	0.416105225834311	-152.206867118898
"4793"	4793	0.573149947986349	0.0435900151583766	0.418552316746179	0.893487154387961	0.848760456254544	3.63079810926656	9.49168993419664	0.656829642683614	-153.584828570666
"4799"	4799	0.580026909546365	0.0521543490581303	0.317611215318261	0.975689547938302	0.753313864577841	2.05449572222118	12.1312108208709	0.68891077296399	-152.332060043607
"4805"	4805	0.577484104572097	0.0625010287862557	0.238501847135418	0.933755757708957	0.681984326950232	3.16290326301088	10.2516910822263	0.778335699202293	-154.272342852689
"4811"	4811	0.582250501188896	0.0695732150852141	0.201244862550661	0.938703513917461	0.704079381345726	3.33598126157446	10.5146408352003	0.787966490263997	-154.398772079669
"4817"	4817	0.578698454566081	0.0543304969151027	0.282843303083815	0.983202566638742	0.841320080298955	3.67460974176134	10.1832280966788	0.971508245553734	-151.902032226914
"4823"	4823	0.579114969977763	0.0567382170890543	0.256670133040594	0.958380862687625	0.882962740258539	5.09658911868183	13.145878958543	0.806425596726229	-153.630906728977
"4829"	4829	0.566246428185993	0.0474471481757431	0.390459836415935	0.88011654013555	0.832078761856749	4.55217426021699	12.352494851288	0.587666473556125	-152.455172004004
"4835"	4835	0.566246428185993	0.0474471481757431	0.390459836415935	0.88011654013555	0.832078761856749	4.55217426021699	12.352494851288	0.587666473556125	-152.455172004004
"4841"	4841	0.570463932865322	0.0577043276870257	0.31492835420892	0.8749856560658	0.776657557627441	6.90878339938534	13.1176139721802	0.407215708312672	-152.071953010295
"4847"	4847	0.573017361339975	0.0728464372241728	0.09049488808836	0.944068728553501	0.964331395517852	2.67376774608406	13.6462633402064	0.531226300716166	-150.513913783085
"4853"	4853	0.570536929383838	0.0633918336987424	0.178652182341857	0.910901853085912	0.901475939573508	4.12460293633656	13.2537829337782	0.507395907351258	-150.715575650451
"4859"	4859	0.569244993799123	0.0565449007679319	0.217103111675248	0.912875183251869	0.903820332231035	3.4353197092957	12.9485047254013	0.458633432092672	-151.14541708972
"4865"	4865	0.572302684682293	0.0527507385145394	0.323245056702639	0.940332652803604	0.87217284490216	3.19169509194763	13.278086394645	0.380411274598071	-150.826864773777
"4871"	4871	0.576443391347861	0.0562783331016682	0.417890490773272	0.985239542371556	0.730840036135136	4.04869415469338	11.9719785296415	0.419652148229323	-152.114444874261
"4877"	4877	0.569155017003713	0.0583625429779864	0.444907142528509	0.955196250533969	0.674351779466329	5.30751193724763	12.8721880349987	0.309617519571074	-151.882637390862
"4883"	4883	0.561829057276138	0.0525128924407801	0.352041661299908	0.92408667430719	0.8256118531574	4.15378476701043	13.5836477772729	0.351799215655811	-150.987482083115
"4889"	4889	0.553474745892829	0.0600513475485777	0.198322374290058	0.893392702580719	0.975299229767592	2.75635375072938	12.0817784593881	0.77491158041536	-154.960970104239
"4895"	4895	0.572211677001564	0.0422840549670677	0.512290442383056	0.926377786259664	0.846423229058565	2.08966919135584	11.842113996807	0.472455331397276	-150.805794839749
"4901"	4901	0.572211677001564	0.0422840549670677	0.512290442383056	0.926377786259664	0.846423229058565	2.08966919135584	11.842113996807	0.472455331397276	-150.805794839749
"4907"	4907	0.56610290533507	0.0425585968505585	0.526979268393388	0.911955367655867	0.792986480638502	1.9805360039829	13.7477783534286	0.379595456536186	-151.205558152048
